,BTC,IBIT,FBTC,GBTC
2024-01-12,-0.07581464687080208,-0.06233570783801412,-0.061888515848583014,-0.051855473442465105
2024-01-16,0.007042124492874446,-0.010012014692619364,-0.006518905083365278,-0.006739297547812995
2024-01-17,-0.009553782672285682,-0.012540431818495734,-0.018372624049254216,-0.009916471584833664
2024-01-18,-0.034639725632667706,-0.04383448183174232,-0.043850351268325594,-0.043489662260553286
2024-01-19,0.00863620644230223,0.019708615315568112,0.020413965078237117,0.01984015698975128
2024-01-22,-0.050723688211871454,-0.03571422274659175,-0.035900282626297186,-0.03215348563049014
2024-01-23,0.008560013431039293,-0.027451026020556157,-0.02387720708644525,-0.02624233072239257
2024-01-24,0.005810521700930993,0.012544833802593525,0.0075712964582967945,0.011181222563225068
2024-01-25,-0.0035747525934159974,0.007079639146523986,0.006069448220553886,0.00481996230906101
2024-01-26,0.04715459322091098,0.05404215860575823,0.05573107009979905,0.058408581004926186
2024-01-29,0.03518615720198914,0.028345156801312,0.02911563795440042,0.02665958164205584
2024-01-30,-0.007753530092744043,0.008512326056879571,0.008196757688854195,0.009348211958452035
2024-01-31,-0.00861423582021903,-0.023311894825971735,-0.02334118449298095,-0.022639557588394865
2024-02-01,0.011581441842771323,0.009876612592677025,0.011278145811367324,0.011055492887482421
2024-02-02,0.0025556346111748063,-0.001630029096781116,-0.0021242171184692182,-0.0018223975918317814
2024-02-05,-0.012207500646732261,-0.012653039426219759,-0.013571104613651741,-0.013041221772913558
2024-02-06,0.009986338686479135,0.016949145860284842,0.017804150333032176,0.016648976517652514
2024-02-07,0.028630850081180936,0.025203208222378315,0.0246488289546547,0.024954560513058333
2024-02-08,0.022188248784866804,0.032117422495808956,0.031557196728359216,0.031701725518386015
2024-02-09,0.040741037427910465,0.04302723405072251,0.04413235392163406,0.04424785007856635
2024-02-12,0.059622278397866824,0.055616952121473995,0.057156606700308865,0.056026287562714217
2024-02-13,-0.004319233922406296,-0.01535242625262423,-0.016583360623468102,-0.016718649261463714
2024-02-14,0.041900916949929146,0.047129693694806685,0.04689301770304999,0.04715483782829799
2024-02-15,0.0021583350882306007,-0.0010151871428561998,0.0,-0.00021649179255656126
2024-02-16,0.004267512618200353,0.003387546745224679,0.0024271979499621565,0.0021654781577131743
2024-02-20,0.0023901723446364542,0.00168802281039504,0.001981073123119348,0.0028089200731575836
2024-02-21,-0.008524364120598982,-0.019885411225842753,-0.01977156232047894,-0.020038751042296354
2024-02-22,-0.010305082651198116,0.02200823216394543,0.021066841414344895,0.021108221067793753
2024-02-23,-0.011168964874795462,-0.018842512748334816,-0.017778782898937084,-0.01830319385890722
2024-02-26,0.07471530629852263,0.06721539787645892,0.0663687423620809,0.0666812338226761
2024-02-27,0.04700762695380023,0.047236480517739654,0.046311798573757335,0.04565084776523509
2024-02-28,0.09493531994124749,0.05707274015473929,0.05828159081966722,0.058603717420995016
2024-02-29,-0.020900898468654838,0.02815667299053759,0.028198366278653797,0.02823705966500234
2024-03-01,0.020298739001094468,0.016092702964090932,0.015829132462180873,0.016802139282226625
2024-03-04,0.09432609800233993,0.07390941159648845,0.07392647096534244,0.07285005982774329
2024-03-05,-0.06628402455760396,-0.08615787062323954,-0.08587818649023071,-0.08529315969910622
2024-03-06,0.03613733749494208,0.08408837050863127,0.08213364226419806,0.08274493123710358
2024-03-07,0.012384196927533564,0.008879606802255635,0.01057477265204998,0.010869511487406225
2024-03-08,0.020539401213709896,0.023815639231360652,0.024978895227617315,0.023986809835815137
2024-03-11,0.05598546488085887,0.039696579648806685,0.038860540558875556,0.039095315288739885
2024-03-12,-0.008909905479502545,-0.00948442120084858,-0.00935172216137159,-0.010105737194107789
