,BTC,SPY,QQQ,Gold,TLT,VIX
2015-01-05,-0.12874251584016183,-0.01805944970892015,-0.014668753610087903,0.015077149308345472,0.015708423363519186,0.11973013216134865
2015-01-06,0.04268162514326268,-0.009419013689502598,-0.013408386928438154,0.011398960794795743,0.0180174628395533,0.06024100192487092
2015-01-07,0.028470732229305185,0.012461434451209286,0.012890979936992286,-0.005891414149803653,-0.001974936169409247,-0.08570081919356187
2015-01-08,-0.03733137995621494,0.017744897444869068,0.019139772642353448,-0.00420851895976293,-0.013243144735131884,-0.11910923359252923
2015-01-09,0.024912706601556422,-0.008013471251753779,-0.006582830381747895,0.011385196369055883,0.010952252208415558,0.03174597301073678
2015-01-12,-0.07786286992481894,-0.007833559604612073,-0.010426565112553021,0.011086435260788896,0.005722324196452799,0.11680918709558497
2015-01-13,-0.1565930750498653,-0.0028127177210423016,-0.00029557867245466607,-0.003373767752371082,0.0,0.04897954417287975
2015-01-14,-0.21144862196566871,-0.006037031379564239,-0.005516076208949783,-0.0016080097792615655,0.0075860106676863825,0.04474708658518822
2015-01-15,0.17821708719158869,-0.009160624636034287,-0.012975542758120628,0.025175902263040006,0.01573565372534147,0.04236498448814063
2015-01-16,-0.00832520380537527,0.013114008504065966,0.011741036164382823,0.013064281211881523,-0.012748968882925094,-0.06431436650126654
2015-01-20,0.015463953432525379,0.002132486837326697,0.007935303654372117,0.013712049879254229,0.013289077448138897,-0.050596722419512186
2015-01-21,0.0737382606648691,0.0050479821601883135,0.005116813149985244,0.00024159749942587183,-0.011558766018628708,-0.05228753343853643
2015-01-22,0.028687036825075563,0.014870766660287194,0.018503985295061254,0.008049585228834255,-0.0035982598506248964,-0.1299735126450129
2015-01-23,-0.0022579027249116645,-0.0054826018880285154,0.002210964835259732,-0.007985306821000182,0.013919008647616415,0.01585367286155681
2015-01-26,0.17431367587304325,0.002342065798106585,-0.0011507875438666604,-0.00998152990144674,-0.003043202359975683,-0.06842733493935294
2015-01-27,-0.03655931713327831,-0.013190823348166458,-0.025927012318738507,0.011464376669647391,0.0015632097128737144,0.10953600550574838
2015-01-28,-0.11219285371519871,-0.01282446117290481,-0.0051259767927608335,-0.00787784039319106,0.01634752987924748,0.1869919482636646
2015-01-29,-0.001718542245643162,0.009244165724519249,0.009611526433115802,-0.021552390797103027,-0.00657986377335229,-0.08219179360472739
2015-01-30,-0.03035375941254781,-0.012575030086112271,-0.007753365746639429,0.022275544587827323,0.017737650812119865,0.11780378771372657
2015-02-02,0.05213205562723977,0.012383779635463554,0.00870438696244924,-0.008343449208254805,-0.0037751448781715435,-0.07343820021958614
2015-02-03,-0.046010344481269505,0.014461167141615494,0.009609487361403213,-0.011190942147351168,-0.021166788369343603,-0.10808030614957465
2015-02-04,-0.001826075536872085,-0.0038076521525517437,-0.0008740286030635147,0.0043783458565487265,0.0017089756192703032,0.0577034047549001
2015-02-05,-0.042944129153365984,0.01009514234416864,0.008651557135117116,0.0017272502164005221,-0.010979238077916897,-0.08074192844497807
2015-02-06,0.023743680503459652,-0.0027655451681064536,-0.006071508271075721,-0.025864204796777424,-0.017701589293199094,0.026112790747559567
2015-02-09,-0.009700115162093681,-0.004475715679087555,-0.003199783248793553,0.004467285755423989,-0.0016037415595429039,0.07287439299101806
2015-02-10,-0.0012311848303054873,0.010653534051489055,0.01556443973424071,-0.005873936049321848,-0.0079539392053124,-0.07115901612475684
2015-02-11,-0.0029749359511789253,0.000579882576458024,0.0036394842118430137,-0.011817350480741395,0.0018503956781776854,-0.015670369410156537
2015-02-12,0.011766361924821833,0.009616704794256581,0.0116434047455507,0.0023062837940568404,-0.0033087746055519007,-0.09551881010229057
2015-02-13,0.061610513511999754,0.004116684366988865,0.008585106511203477,0.005454295543013465,-0.010269201465587074,-0.04237291823591893
2015-02-17,0.03475811435960874,0.0015730690300272965,0.0009350118279112252,-0.01669775525216033,-0.015055944055944015,0.07556165024223915
2015-02-18,-0.02990023629482208,9.53929261002795e-05,0.0014018665866781799,0.002844532329830063,0.005940306989887345,-0.022151922610416652
2015-02-19,0.016743822791281504,-0.0007143677230271317,0.004946193653607933,-0.0034381460295276334,-0.006613816103281489,-0.010355977306624964
2015-02-20,0.014549519225243168,0.006000984607328785,0.0066856505460850535,-0.005692631086866906,0.0029328643394099796,-0.0647481866310079
2015-02-23,-0.020046880689090663,-0.00014184296689312426,0.0010145960097249773,0.0013011929863573357,0.011458677589279764,0.018181833945029924
2015-02-24,-0.0006571910394118641,0.0028404104093922022,0.0007368968592094127,-0.0014727381832787545,0.013125780154808142,-0.059752803170338264
2015-02-25,-0.005298759655745222,-0.0008498142557562538,-0.00248552978735872,0.0038174111040851777,0.004319298854291054,0.010956944981906913
2015-02-26,-0.00439637150919947,-0.0011812723681686732,0.005076878034001808,0.0031979494930112207,-0.01366847360200496,0.0050577813621721646
2015-02-27,0.07360446158209011,-0.0034064340083046485,-0.004408666524483573,0.0007754283408443197,0.008407649990132215,-0.04097769238511273
2015-03-02,0.08605043669707824,0.006313959609353992,0.00904044247755098,-0.004132260173905,-0.01862616586050303,-0.022488769662919794
2015-03-03,0.02188116997881684,-0.0041043826032944875,-0.004662479377757656,-0.0018153447779967191,-0.0036260489055761624,0.06288341236372941
2015-03-04,-0.030564161697168357,-0.004215359585239997,-0.003857966597768381,-0.0031176981600916642,0.0003166850905844676,0.026695519099874554
2015-03-05,0.011300215372570532,0.0010942396668689458,0.0017522065524493424,-0.0009556129768769628,-0.001264858425368942,-0.013352044026379573
2015-03-06,-0.012510109338315867,-0.014064828466847645,-0.011321883767186125,-0.02730434251868208,-0.022092705817924663,0.08262107197748247
2015-03-09,0.06190898158323743,0.004144678073463526,0.0028862105300069274,0.000983377523255502,0.009231031015937363,-0.00921048627665777
2015-03-10,0.007434264975117566,-0.01622196605916304,-0.0185667070827622,-0.004912057209624399,0.013157954042563924,0.10823373632299038
2015-03-11,0.01583146381445455,-0.0023415909192089357,-0.005769821288172494,-0.006013266738071565,0.007284991901719939,0.010784919078251187
2015-03-12,-0.006832447344437664,0.01271363544266424,0.006564345376109504,-0.0002708693390236494,-0.0007069711080766039,-0.08595143395412796
2015-03-13,-0.03063317696159995,-0.006131978742782929,-0.004347795061912962,0.001445050857576513,-0.003068546141629769,0.03761348384152874
2015-03-16,0.018420258648119248,0.013360506616352685,0.012910458781348,-0.0006313103946443688,0.009627629739968446,-0.02437502145767212
2015-03-17,-0.01750896409855296,-0.0029724960641860365,0.0015934808950239798,-0.005414660114975933,0.008284962777921567,0.0032030872411630273
2015-03-18,-0.10229590778743636,0.012021811713149644,0.00982467613222715,0.019598980855210835,0.019302440492938944,-0.10791823734676353
2015-03-19,0.018060927275961758,-0.0045617652588555435,0.0014826028251093692,-0.0007119500676271429,-0.005095030705319581,0.007158155038223146
2015-03-20,0.003146399996537985,0.008827010279353065,0.006473541718320153,0.011399045051747603,0.0052737300156560085,-0.0746268130657316
2015-03-23,0.019067875901933373,-0.0019489396686138694,-0.0019352761293928156,0.006339713151693793,-0.0012164292386965814,0.029953869119557996
2015-03-24,-0.07927191192851335,-0.0056188065378176555,-0.0036005183682754627,0.002449897428068226,0.009668438710822125,0.01565995828012623
2015-03-25,0.0024512103336411517,-0.014653663459899824,-0.022885146484892482,0.001396558108890389,-0.008444757213230125,0.1336269978059188
2015-03-26,0.00948423984058766,-0.0023816955076433333,-0.0034138811282447,0.00653708688272836,-0.015589227302009845,0.023316102340374956
2015-03-27,-0.006047473712368467,0.002289994060887812,0.00399647865693753,-0.0036370435238182175,0.012437104644996033,-0.04620256247457
2015-03-30,0.0020118852626855865,0.01219969928027309,0.011467054926223463,-0.01138534318086215,-0.0049595784040842306,-0.037159885685645655
2015-03-31,-0.013340020604290626,-0.008739415175737175,-0.010587344525981424,-0.0007911765968406925,0.002147045578648976,0.053756011072874976
2015-04-01,0.012480362956050595,-0.003536314936044005,-0.005208640334100401,0.017068403567705115,0.013134877835462744,-0.01177242025015457
2015-04-02,0.023185001275515038,0.003597233255118404,0.0006664361166457411,-0.0027681634865752702,-0.010595820019088098,-0.029119761110574238
2015-04-06,0.009829843140338967,0.00673323106362278,0.00818127966423532,0.012231121417765056,-0.00558375283811452,0.004771621980925289
2015-04-07,-0.009049252731916368,-0.0026461838726136166,-0.0016984089346337994,-0.004970450072155241,0.008385005918329691,0.0027137016603897557
2015-04-08,-0.03222209391719244,0.0033771931925921095,0.007939366618781696,-0.00551200918339656,0.0003048994892893564,-0.054127212800296864
2015-04-09,-0.005493418074075329,0.004423217621564168,0.006282695448117659,-0.006928232816320268,-0.012964491540707668,-0.06366233324683412
2015-04-10,-0.031205325134396444,0.005457354284502891,0.004100374362891124,0.011336906536289382,0.0014676902799728442,-0.038961055992119964
2015-04-13,-0.04865041304125117,-0.0045230818317246735,-0.0025055338605433075,-0.007157039081814864,0.0013891307248581342,0.10810808147259454
2015-04-14,-0.024168847250684022,0.0019131318014204979,-0.0028844889810673013,-0.006079528851422933,0.0070878239761333894,-0.019368688107373022
2015-04-15,0.02132696373215137,0.0044870247888104675,0.00625177929909948,0.008650802539753588,-0.0008416016305644591,-0.06071689239749256
2015-04-16,0.02117652737018494,-0.000285085559315279,-0.0013908782304952183,-0.0034653168571547877,-0.00497676194279395,-0.018691570737231822
2015-04-17,-0.0248979289387814,-0.011503361725589967,-0.015600517065736508,0.004955226470251928,0.011465412243028439,0.10238094625379324
2015-04-20,0.0078247829178133,0.009136550437941482,0.014998707775288667,-0.007612433088526105,-0.008825374240253314,-0.04247661180739404
2015-04-21,0.04738093442808933,-0.0011915193896644416,0.004275253195054729,0.005753103431764384,-0.004527475248885637,-0.0037594127832941693
2015-04-22,-0.004645755847049293,0.004914607251265579,0.005459883692428447,-0.013433831333510171,-0.015266279208540401,-0.040754714102115286
2015-04-23,0.00976193458012986,0.002516096794069833,0.003773715997607452,0.007291591124513719,0.004306443180310815,-0.01809602637453467
2015-04-24,-0.021965474878836044,0.002320265838137603,0.013570277873449443,-0.01404151891618688,0.006236667854803812,-0.015224325909650949
2015-04-27,-0.008570186284587722,-0.004157790992147969,-0.002533049527153608,0.02016805588455428,0.0,0.06753457496194426
2015-04-28,-0.014963843511793584,0.003178960383188878,-0.001995221617638432,0.008670770693864016,-0.013791155832845958,-0.054115857038112836
2015-04-29,-0.00020808514844272707,-0.004114864464058621,-0.006270456215349718,-0.007048909841977813,-0.012255451683922614,0.07896861466239313
2015-04-30,0.04577785409154522,-0.010020359327145734,-0.015729375325063355,-0.017660816187341055,0.0017496766731273095,0.0866318011702345
2015-05-01,-0.017218274568252423,0.010841761903644498,0.013193327615717232,-0.0034370263986326366,-0.013461178161983,-0.12714779087410377
2015-05-04,0.029899347967974554,0.0028471934333802462,0.0016507469424975607,0.009020132884241638,-0.00943562067955983,0.011811068854911122
2015-05-05,-0.012120439082948242,-0.01145190931731599,-0.01629597185290821,0.0028045547686559313,-0.0013841377977077407,0.11361867663851255
2015-05-06,-0.026846423899665184,-0.0041169174989593715,-0.0068869613018438525,-0.0005243625201353241,-0.0171202868807111,0.05870015194144029
2015-05-07,0.032865942629762834,0.003989844610518434,0.005997623321237988,-0.00821967852736405,0.013436853363248069,-0.0013200993130648708
2015-05-08,0.02750978354589817,0.013166006800527708,0.012482515387731041,0.004849259924502469,0.0027010908917000087,-0.15003307604717442
2015-05-11,-0.0069916378662086,-0.0047727078179715665,-0.003864246467369603,-0.0038606864674344266,-0.02432484018636316,0.076982951105947
2015-05-12,-0.004319515475265434,-0.0029914514241484724,-0.0045257762601900176,0.00854400802548061,0.0025942104468932303,0.0007219693091775614
2015-05-13,-0.019638179020291524,0.00019049357366651698,0.0020416690953966032,0.01790395678391099,-0.008011042296557025,-0.007214966109124976
2015-05-14,0.002335260857404098,0.010427602454420981,0.014629292890430357,0.005405381698172951,0.002691796256985235,-0.07412793901141956
2015-05-15,0.0028531537743750057,0.0010840660319189066,0.0,0.002986844796122101,0.020050357306724553,-0.02825743038813644
2015-05-18,-0.01884215326527683,0.0031064433854934848,0.004380348062049011,-8.510283616403047e-05,-0.016777339735931984,0.028271359011309283
2015-05-19,-0.005065885374378243,-0.0003282888126870942,-0.001090348676931252,-0.013869956602948319,-0.00886693044073883,0.009426617717876118
2015-05-20,0.008928759974998757,-0.0007041880238137788,0.00063649257206988,0.0016395067944336983,0.0016880520695774504,0.002334609500436402
2015-05-21,0.005666182682946053,0.002912643082565447,0.005181624333552515,-0.003359746584222556,0.013986103716979503,-0.05978264370513131
2015-05-22,0.021262548380705182,-0.0023886409227510397,-0.0009947986775240558,-0.0007779753253159827,0.00041527552808173773,0.0016515655103792604
2015-05-26,-0.0134472090087977,-0.010752084682121743,-0.01149645850424652,-0.014619332476808355,0.01710966708452344,0.15910966916464342
2015-05-27,0.0007043280427325715,0.00949230583114491,0.016117321291984066,-0.00017561471177085508,0.002286539905142382,-0.056187762324018786
2015-05-28,0.0005267971051110543,-0.001128172227837565,-0.0022531973134697347,0.0011414281685366845,-0.0024445706828777336,0.0030143150318902023
2015-05-29,-0.0013142426223767822,-0.006212994139308647,-0.0059612611110571034,0.0007016473724792416,0.002205852052980628,0.0398196631301424
2015-06-01,-0.059764815031840945,0.0020368814469671204,0.00336190023404237,-0.0008764108278561666,-0.010747474413167368,0.009393071749107529
2015-06-02,0.012905623245084596,-0.0009927703612889749,-0.0031697532749807023,0.004035079688356591,-0.013952430864078824,0.019327093695666653
2015-06-03,0.0003144296021988513,0.0026494094102804677,0.0029983749277140426,-0.007164072177032299,-0.01607543543011225,-0.04073033237559609
