,BTC,SPY,QQQ,Gold,TLT,VIX
2015-01-02,315.0320129394531,169.68780517578125,94.6650619506836,114.08000183105469,93.00150299072266,17.790000915527344
2015-01-05,274.4739990234375,166.6233367919922,93.27644348144531,115.80000305175781,94.46240997314453,19.920000076293945
2015-01-06,286.1889953613281,165.0539093017578,92.0257568359375,117.12000274658203,96.16438293457031,21.1200008392334
2015-01-07,294.3370056152344,167.1107177734375,93.2120590209961,116.43000030517578,95.9744644165039,19.309999465942383
2015-01-08,283.3489990234375,170.07608032226562,94.9961166381836,115.94000244140625,94.70346069335938,17.010000228881836
2015-01-09,290.4079895019531,168.7131805419922,94.37077331542969,117.26000213623047,95.74067687988281,17.549999237060547
2015-01-12,267.7959899902344,167.3915557861328,93.38681030273438,118.55999755859375,96.28853607177734,19.600000381469727
2015-01-13,225.86099243164062,166.9207305908203,93.35920715332031,118.16000366210938,96.28853607177734,20.559999465942383
2015-01-14,178.10299682617188,165.91302490234375,92.84423065185547,117.97000122070312,97.01898193359375,21.479999542236328
2015-01-15,209.843994140625,164.39315795898438,91.6395263671875,120.94000244140625,98.54563903808594,22.389999389648438
2015-01-16,208.0970001220703,166.54901123046875,92.71546936035156,122.5199966430664,97.2892837524414,20.950000762939453
2015-01-20,211.31500244140625,166.9041748046875,93.4511947631836,124.19999694824219,98.58216857910156,19.889999389648438
2015-01-21,226.89700317382812,167.7467041015625,93.92936706542969,124.2300033569336,97.44268035888672,18.850000381469727
2015-01-22,233.406005859375,170.24122619628906,95.66743469238281,125.2300033569336,97.09205627441406,16.399999618530273
2015-01-23,232.87899780273438,169.307861328125,95.87895202636719,124.2300033569336,98.4434814453125,16.65999984741211
2015-01-26,273.4729919433594,169.7043914794922,95.76861572265625,122.98999786376953,98.1438980102539,15.520000457763672
2015-01-27,263.4750061035156,167.46585083007812,93.2856216430664,124.4000015258789,98.29731750488281,17.219999313354492
2015-01-28,233.9149932861328,165.3181915283203,92.80744171142578,123.41999816894531,99.90423583984375,20.440000534057617
2015-01-29,233.51300048828125,166.84642028808594,93.699462890625,120.76000213623047,99.24687957763672,18.760000228881836
